age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
44,Self-emp-inc,215242,Some-college,10,Divorced,Other-service,Not-in-family,White,Female,0,1,31,United-States,<=50K
21,Private,186234,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,30,United-States,<=50K
20,Private,147024,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,22,0,45,United-States,<=50K
47,Local-gov,134478,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,44,United-States,>50K
36,Private,380688,Some-college,10,Separated,Sales,Unmarried,Black,Male,21,0,40,Scotland,<=50K
53,Self-emp-inc,96622,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15201,0,67,?,>50K
59,State-gov,49396,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,9,2173,50,United-States,>50K
32,Private,338208,Masters,14,Never-married,Craft-repair,Not-in-family,White,Male,11,0,49,United-States,<=50K
22,Private,103986,11th,7,Never-married,Other-service,Own-child,White,Male,12,0,30,United-States,<=50K
29,Local-gov,277783,Masters,14,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,8,0,40,United-States,>50K
18,Private,186048,Some-college,10,Never-married,Other-service,Own-child,Black,Female,0,0,21,United-States,<=50K
22,Private,41083,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,20,Honduras,<=50K
86,State-gov,125538,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,19,0,24,United-States,>50K
36,Private,360756,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Male,0,0,58,Holand-Netherlands,<=50K
52,Federal-gov,342703,Bachelors,13,Married-civ-spouse,Sales,Husband,Other,Male,10,0,40,Dominican-Republic,<=50K
30,Private,288087,Some-college,10,Separated,Tech-support,Other-relative,Asian-Pac-Islander,Male,11,0,31,Philippines,<=50K
31,Local-gov,124523,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,20,0,50,?,<=50K
29,State-gov,173793,Masters,14,Widowed,Prof-specialty,Not-in-family,White,Female,15,0,23,United-States,>50K
36,Private,202451,Some-college,10,Never-married,Other-service,Other-relative,White,Female,3928,0,40,United-States,>50K
38,Local-gov,369213,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K
64,State-gov,109916,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,4,0,40,United-States,>50K
66,Self-emp-inc,305949,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Male,0,0,40,United-States,<=50K
41,?,176818,Assoc-acdm,13,Separated,Machine-op-inspct,Not-in-family,White,Male,7,0,40,Canada,<=50K
28,Private,115018,HS-grad,9,Never-married,Other-service,Own-child,White,Female,6,1,35,United-States,<=50K
35,Private,101576,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,33,0,50,Iran,>50K
24,Private,62944,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,1,45,United-States,<=50K
41,State-gov,113290,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,1,40,United-States,<=50K
22,Private,80045,HS-grad,9,Never-married,Sales,Own-child,White,Male,2,0,40,United-States,<=50K
47,Federal-gov,238751,Assoc-voc,5,Married-civ-spouse,Other-service,Husband,White,Female,1,0,40,United-States,<=50K
23,?,141224,HS-grad,9,Never-married,?,Own-child,White,Female,0,1,40,Hong,<=50K
58,Private,67453,11th,6,Separated,Prof-specialty,Unmarried,Black,Female,11,0,25,United-States,<=50K
42,Private,291892,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7667,0,50,United-States,>50K
42,Federal-gov,518081,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,22,0,40,United-States,<=50K
38,Local-gov,73006,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Female,12,0,50,Philippines,<=50K
52,Private,139082,HS-grad,9,Divorced,Sales,Other-relative,Asian-Pac-Islander,Female,27,0,40,Columbia,<=50K
31,?,229400,Some-college,10,Married-spouse-absent,?,Other-relative,White,Male,3330,0,22,England,<=50K
54,Private,101696,Prof-school,15,Married-civ-spouse,Other-service,Husband,White,Male,8,0,57,United-States,>50K
21,Private,319274,HS-grad,9,Never-married,Machine-op-inspct,Other-relative,White,Male,0,1,40,United-States,<=50K
45,Private,91595,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
43,Private,142992,Bachelors,13,Married-civ-spouse,Sales,Husband,Other,Male,7,0,40,Philippines,>50K
27,Private,100992,HS-grad,9,Never-married,Priv-house-serv,Not-in-family,White,Female,0,1,40,United-States,<=50K
25,State-gov,340506,Prof-school,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,4,0,61,United-States,<=50K
26,Private,177040,HS-grad,9,Divorced,Machine-op-inspct,Other-relative,White,Female,4,1,40,Italy,<=50K
24,Private,447597,Assoc-acdm,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
36,Private,79297,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,1,40,Columbia,>50K
44,Private,107939,HS-grad,9,Separated,Sales,Not-in-family,White,Male,0,1,40,United-States,<=50K
21,Private,101337,11th,7,Divorced,Machine-op-inspct,Not-in-family,White,Male,4,0,20,United-States,<=50K
22,?,191257,HS-grad,9,Never-married,?,Own-child,White,Male,5,0,40,United-States,<=50K
44,Private,144914,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,18,0,40,Puerto-Rico,<=50K
52,Private,307829,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,1,40,?,<=50K
30,Private,185092,Some-college,10,Never-married,Exec-managerial,Other-relative,White,Female,0,0,18,United-States,<=50K
42,Private,122425,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,14,0,40,United-States,<=50K
20,Private,31785,12th,8,Separated,Other-service,Other-relative,White,Female,18,0,25,United-States,<=50K
51,Private,176146,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,6,0,55,Mexico,<=50K
30,Private,125263,Assoc-acdm,13,Separated,Other-service,Not-in-family,White,Male,5,0,22,Ecuador,<=50K
33,Private,140436,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,0,0,40,China,<=50K
31,Federal-gov,139114,5th-6th,5,Never-married,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
52,State-gov,271004,Some-college,10,Married-civ-spouse,Other-service,Other-relative,Black,Female,9,1,40,?,<=50K
21,Private,78446,HS-grad,9,Separated,Machine-op-inspct,Own-child,Black,Male,0,1,22,United-States,<=50K
23,Private,187365,Some-college,10,Never-married,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Male,4,0,45,India,<=50K
32,Federal-gov,36405,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,14,0,50,United-States,>50K
22,State-gov,293326,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,0,0,23,United-States,>50K
34,State-gov,292916,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Male,0,0,50,United-States,>50K
29,Private,103901,HS-grad,9,Never-married,Machine-op-inspct,Other-relative,Asian-Pac-Islander,Female,0,0,15,Laos,<=50K
36,State-gov,135088,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,7,0,40,Vietnam,<=50K
31,Local-gov,269804,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,12,0,40,United-States,<=50K
63,Private,171219,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,20,1,40,United-States,<=50K
54,Federal-gov,102441,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,15232,1,40,United-States,>50K
41,Private,290593,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Female,7,1,40,Philippines,<=50K
50,Private,438254,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Female,0,1,36,United-States,<=50K
27,Private,447267,5th-6th,4,Married-civ-spouse,Other-service,Husband,White,Male,0,0,24,Italy,<=50K
32,Self-emp-inc,92550,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,4,0,46,United-States,>50K
33,Federal-gov,116523,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Black,Female,7,0,40,Vietnam,<=50K
24,State-gov,134108,HS-grad,9,Never-married,Tech-support,Not-in-family,White,Male,0,0,20,United-States,<=50K
49,Private,142077,HS-grad,9,Divorced,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,<=50K
29,Private,170749,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,1,45,United-States,<=50K
35,State-gov,343413,HS-grad,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,57,United-States,<=50K
61,State-gov,140333,Prof-school,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,10,0,21,China,>50K
49,Private,197138,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,7,0,40,Mexico,<=50K
20,Private,135455,12th,8,Never-married,Other-service,Own-child,White,Male,1,0,31,United-States,<=50K
42,Local-gov,251208,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,1807,40,Jamaica,<=50K
42,Federal-gov,505397,Some-college,10,Separated,Sales,Unmarried,White,Male,0,0,40,United-States,<=50K
50,Self-emp-inc,115651,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,12,1,68,United-States,>50K
70,Private,134714,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,?,<=50K
50,Private,200712,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,1,40,United-States,<=50K
59,Self-emp-inc,107555,HS-grad,9,Separated,Other-service,Not-in-family,Asian-Pac-Islander,Female,3372,1,40,China,<=50K
48,State-gov,101472,12th,8,Divorced,Machine-op-inspct,Not-in-family,White,Female,10,0,40,United-States,<=50K
51,Self-emp-inc,205087,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,6,0,46,United-States,<=50K
27,State-gov,276720,5th-6th,4,Married-civ-spouse,Sales,Husband,Other,Male,8,0,40,Scotland,<=50K
28,Federal-gov,197333,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,<=50K
20,Self-emp-inc,249686,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,0,1,31,?,<=50K
21,Private,236184,10th,7,Never-married,Other-service,Other-relative,White,Male,0,1,30,United-States,<=50K
63,Self-emp-inc,165158,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
34,?,307974,Bachelors,13,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,0,0,40,Taiwan,<=50K
75,Private,88949,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,23,0,40,United-States,<=50K
41,Local-gov,124375,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,14281,0,44,United-States,>50K
62,Federal-gov,83649,Masters,11,Widowed,Prof-specialty,Not-in-family,White,Male,0,0,44,United-States,>50K
18,?,163905,HS-grad,9,Never-married,?,Own-child,White,Female,0,0,13,United-States,<=50K
32,Private,262873,Masters,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,44,United-States,<=50K
55,Self-emp-not-inc,88109,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,7,0,49,China,>50K
34,Private,151215,Bachelors,13,Married-spouse-absent,Tech-support,Not-in-family,Asian-Pac-Islander,Male,0,0,49,India,<=50K
38,Private,289769,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1,40,United-States,<=50K
24,Without-pay,230557,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,4,0,40,United-States,<=50K
48,Private,116710,7th-8th,3,Divorced,Craft-repair,Not-in-family,White,Male,8,0,40,United-States,<=50K
27,State-gov,123009,Assoc-acdm,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,46,United-States,>50K
26,Private,220169,10th,7,Never-married,Machine-op-inspct,Not-in-family,Other,Male,5,0,40,?,<=50K
42,Local-gov,205749,10th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,3,0,40,United-States,>50K
19,Private,141581,10th,7,Never-married,Priv-house-serv,Own-child,White,Female,11,0,6,United-States,<=50K
49,Federal-gov,130953,12th,7,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
59,?,521169,Some-college,10,Never-married,?,Unmarried,White,Male,1,0,40,United-States,<=50K
40,Private,273912,HS-grad,9,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,1,34,China,<=50K
46,Private,320631,7th-8th,3,Married-civ-spouse,Other-service,Husband,White,Male,0,0,71,United-States,<=50K
52,Private,384743,HS-grad,9,Widowed,Other-service,Not-in-family,Black,Female,0,0,31,United-States,<=50K
79,State-gov,127755,11th,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,68,United-States,<=50K
17,Never-worked,109557,Assoc-voc,11,Never-married,?,Own-child,White,Male,0,0,23,United-States,<=50K
33,Private,209595,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,14834,0,49,United-States,<=50K
21,Private,100512,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,6,0,30,Mexico,<=50K
72,Federal-gov,194521,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
34,Private,324599,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,>50K
24,Private,309619,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K
55,Federal-gov,186517,HS-grad,9,Widowed,Tech-support,Unmarried,White,Female,0,0,40,United-States,<=50K
47,Private,330478,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
38,Private,499231,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,7474,0,46,United-States,>50K
34,Private,421486,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,?,<=50K
45,Self-emp-not-inc,270543,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,47,United-States,<=50K
53,Private,282560,9th,4,Separated,Other-service,Not-in-family,Asian-Pac-Islander,Female,3401,0,40,Jamaica,<=50K
21,Private,73492,HS-grad,9,Widowed,Other-service,Unmarried,Asian-Pac-Islander,Female,0,0,17,Japan,<=50K
46,Federal-gov,198040,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7539,0,40,Nicaragua,<=50K
26,Private,234096,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K
48,Federal-gov,204343,HS-grad,9,Divorced,Adm-clerical,Other-relative,White,Female,0,0,40,United-States,<=50K
56,Private,175435,HS-grad,9,Separated,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
34,Private,112253,7th-8th,4,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,0,0,51,Philippines,>50K
25,Private,117507,HS-grad,9,Never-married,Sales,Other-relative,White,Female,0,1,23,El-Salvador,<=50K
30,Private,137533,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,10,1,58,United-States,<=50K
44,State-gov,254135,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
17,Local-gov,182282,10th,6,Never-married,Other-service,Own-child,Black,Female,16,0,22,?,<=50K
33,Private,201725,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Japan,<=50K
64,?,171447,11th,13,Widowed,?,Unmarried,White,Female,0,0,10,United-States,<=50K
45,Federal-gov,145096,Assoc-voc,4,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
53,Private,128012,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
24,Private,202851,Some-college,10,Never-married,Sales,Own-child,White,Female,8,0,31,United-States,<=50K
22,State-gov,261560,Prof-school,6,Never-married,Other-service,Own-child,White,Female,0,1,31,United-States,<=50K
23,Private,137174,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,40,?,<=50K
53,?,185050,HS-grad,13,Married-AF-spouse,?,Wife,White,Female,17,1,40,United-States,<=50K
32,Private,151830,Assoc-acdm,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,66,?,<=50K
55,Private,279826,HS-grad,9,Married-civ-spouse,Transport-moving,Wife,White,Female,0,0,40,United-States,>50K
28,?,217387,HS-grad,9,Married-AF-spouse,?,Other-relative,White,Female,7,0,36,United-States,>50K
25,Private,178981,Bachelors,13,Never-married,Sales,Own-child,White,Male,0,1,50,United-States,<=50K
51,Private,141486,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
41,State-gov,131743,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,1,40,United-States,<=50K
56,Federal-gov,134052,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,23,1,40,United-States,<=50K
22,Private,327678,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Female,10,0,40,Mexico,<=50K
43,Private,160708,Some-college,10,Married-spouse-absent,Tech-support,Unmarried,White,Female,0,0,40,Cuba,<=50K
22,State-gov,175338,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,Black,Female,0,1,22,United-States,<=50K
46,Private,259073,11th,5,Married-civ-spouse,Sales,Husband,White,Male,6,0,40,United-States,>50K
29,State-gov,135412,Some-college,10,Married-spouse-absent,Sales,Other-relative,Asian-Pac-Islander,Female,0,0,50,Taiwan,<=50K
20,?,202463,Some-college,10,Never-married,?,Other-relative,White,Female,0,0,20,United-States,<=50K
61,Private,184083,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,7,1,40,United-States,<=50K
35,Private,234297,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Female,0,0,25,United-States,<=50K
40,Private,204847,Masters,14,Never-married,Sales,Other-relative,White,Male,14739,0,43,United-States,>50K
44,State-gov,110545,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,46,United-States,<=50K
20,Private,263952,11th,7,Married-civ-spouse,Armed-Forces,Husband,White,Male,0,0,23,France,<=50K
26,State-gov,56564,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,1,40,United-States,<=50K
29,Private,267744,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1,50,United-States,>50K
31,Private,35331,Bachelors,6,Never-married,Other-service,Own-child,Asian-Pac-Islander,Male,0,0,45,United-States,<=50K
32,Self-emp-inc,77375,10th,8,Married-civ-spouse,Exec-managerial,Husband,White,Male,8,1,45,United-States,>50K
34,Federal-gov,189003,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,10,0,40,United-States,<=50K
48,Private,366433,5th-6th,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,Mexico,<=50K
56,Federal-gov,245170,Some-college,10,Never-married,Tech-support,Other-relative,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
46,Private,41666,10th,6,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,0,0,31,United-States,<=50K
21,Private,106665,Bachelors,13,Never-married,Sales,Own-child,White,Female,4,0,31,United-States,<=50K
36,Private,134694,10th,6,Separated,Handlers-cleaners,Other-relative,Amer-Indian-Eskimo,Male,0,1,40,United-States,<=50K
49,Private,115570,HS-grad,9,Never-married,Sales,Own-child,Black,Male,0,0,40,United-States,<=50K
28,Private,273710,Bachelors,13,Divorced,Sales,Not-in-family,White,Female,0,0,45,Cuba,<=50K
26,Private,196884,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,1,43,United-States,<=50K
61,Private,120431,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,3286,0,22,United-States,<=50K
43,State-gov,98893,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,White,Male,3211,0,40,United-States,>50K
60,Private,302387,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,<=50K
19,Private,481799,Some-college,10,Never-married,Other-service,Own-child,Black,Female,3,0,22,Ecuador,<=50K
40,Private,207662,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7656,0,50,?,>50K
30,Private,240867,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,51,United-States,<=50K
36,Federal-gov,226533,Some-college,10,Divorced,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Male,7672,0,40,United-States,<=50K
33,Private,298716,HS-grad,9,Never-married,Tech-support,Other-relative,Black,Male,2,0,40,El-Salvador,<=50K
38,Private,88910,1st-4th,3,Never-married,Priv-house-serv,Not-in-family,White,Female,0,1,20,United-States,<=50K
27,Private,363368,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,7414,1,40,United-States,<=50K
47,Private,50231,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,5,1,40,United-States,>50K
19,Federal-gov,343243,Some-college,10,Divorced,Tech-support,Not-in-family,Black,Male,7,0,40,United-States,<=50K
46,Federal-gov,179928,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,0,1,40,United-States,<=50K
51,Federal-gov,63798,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,16,1,40,United-States,<=50K
35,Private,119695,Assoc-acdm,13,Divorced,Sales,Husband,White,Female,6,0,40,United-States,<=50K
36,State-gov,216144,HS-grad,9,Married-AF-spouse,Other-service,Wife,White,Female,0,1,30,United-States,<=50K
42,Private,158520,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Female,2849,0,22,China,<=50K
45,Private,316736,1st-4th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,59,Poland,<=50K
