age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
42,management,married,tertiary,no,258,no,no,cellular,9,may,205,2,-1,0,unknown,yes
41,admin.,married,tertiary,no,609,yes,yes,cellular,18,nov,486,2,176,6,success,yes
49,technician,married,tertiary,no,1816,yes,no,cellular,19,may,1019,4,-1,0,unknown,yes
18,student,single,unknown,no,205,no,no,cellular,27,feb,393,1,-1,0,unknown,no
84,unemployed,married,primary,no,1480,no,no,telephone,20,feb,158,1,0,0,unknown,yes
42,blue-collar,married,secondary,no,751,yes,yes,cellular,18,may,169,3,-1,0,unknown,no
25,student,single,tertiary,no,1575,no,no,cellular,25,may,343,1,-1,6,unknown,yes
40,technician,divorced,secondary,no,4158,yes,yes,unknown,22,jun,656,3,-1,0,unknown,no
83,housemaid,married,primary,no,388,no,no,cellular,12,jun,946,2,0,0,unknown,yes
25,student,single,unknown,no,2640,no,no,cellular,15,feb,350,3,90,1,success,yes
29,blue-collar,single,secondary,no,4806,yes,yes,unknown,9,may,376,2,-1,0,success,no
37,management,married,tertiary,no,501,yes,no,cellular,23,may,331,1,87,1,other,no
42,blue-collar,married,unknown,no,255,yes,yes,cellular,22,feb,56,1,-1,0,unknown,no
32,technician,married,primary,no,1182,yes,no,cellular,24,nov,1037,13,0,0,unknown,no
29,management,single,tertiary,yes,212,yes,no,cellular,29,jul,270,1,-1,0,unknown,no
47,admin.,married,secondary,no,1515,yes,yes,unknown,25,may,303,4,-1,0,unknown,no
20,student,single,unknown,no,157,no,no,cellular,26,jul,244,1,-1,0,unknown,no
72,retired,married,primary,no,3077,no,no,cellular,23,feb,939,1,176,1,success,yes
32,technician,married,secondary,no,358,no,no,unknown,5,may,41,3,1,0,unknown,no
49,management,married,tertiary,no,2607,yes,no,cellular,25,may,136,1,58,5,other,no
41,housemaid,single,unknown,no,426,no,no,cellular,4,aug,363,1,-1,0,unknown,yes
37,technician,married,tertiary,yes,69,no,yes,cellular,29,feb,322,1,-1,0,unknown,yes
33,services,single,secondary,no,0,no,no,cellular,12,jul,124,2,-1,0,unknown,yes
34,technician,single,tertiary,no,480,yes,no,cellular,17,may,338,8,290,3,success,yes
40,management,single,tertiary,no,487,yes,no,cellular,18,jan,135,6,97,0,unknown,no
58,management,married,tertiary,no,31,no,yes,cellular,15,mar,551,1,176,1,other,yes
31,admin.,divorced,secondary,yes,-30,no,no,cellular,8,nov,358,3,-1,0,unknown,yes
31,self-employed,married,secondary,no,195,no,yes,cellular,14,dec,2,4,95,6,other,no
55,admin.,divorced,primary,no,2253,yes,yes,cellular,9,may,550,2,-1,0,unknown,yes
31,student,single,tertiary,no,718,no,no,cellular,6,may,184,1,186,1,other,no
55,services,married,tertiary,no,2275,no,no,unknown,14,jun,1769,1,-1,0,unknown,no
38,management,single,tertiary,no,-149,no,no,cellular,28,jan,126,1,-1,0,unknown,no
42,blue-collar,married,primary,no,4014,yes,no,unknown,13,may,317,5,-1,0,unknown,yes
35,housemaid,single,primary,no,-220,yes,no,cellular,26,jul,494,2,-1,0,unknown,no
49,technician,married,secondary,no,174,yes,no,unknown,21,may,64,1,-1,0,unknown,no
40,management,married,secondary,no,2553,no,no,cellular,8,nov,480,4,-1,0,unknown,yes
61,unemployed,married,secondary,no,1734,no,yes,cellular,21,jan,66,4,-1,0,unknown,no
39,management,married,tertiary,no,1171,yes,no,unknown,25,may,825,1,-1,0,unknown,yes
27,admin.,single,secondary,yes,-54,yes,yes,telephone,8,may,1671,1,-1,0,unknown,no
50,blue-collar,married,secondary,no,8647,yes,no,cellular,22,feb,77,2,0,0,unknown,no
25,technician,single,secondary,no,3177,yes,no,cellular,4,nov,351,2,-1,0,unknown,yes
34,management,single,unknown,no,-26,no,no,cellular,19,oct,185,1,-1,0,unknown,yes
27,management,married,tertiary,no,3874,no,no,cellular,6,nov,81,3,94,2,other,yes
52,technician,married,unknown,no,1077,no,yes,cellular,17,feb,382,7,0,0,unknown,no
37,technician,married,secondary,no,11343,yes,no,unknown,12,may,217,1,-1,0,unknown,yes
44,blue-collar,married,primary,no,91,no,no,cellular,10,feb,636,3,0,0,unknown,yes
32,admin.,married,secondary,no,1354,yes,no,cellular,3,aug,142,2,-1,0,unknown,no
42,entrepreneur,married,unknown,no,-26,yes,no,cellular,16,aug,195,3,184,2,success,no
50,blue-collar,married,secondary,no,3856,yes,no,cellular,12,nov,21,3,-1,0,unknown,no
61,admin.,divorced,secondary,no,364,no,yes,cellular,3,apr,274,1,-1,0,unknown,yes
64,retired,married,secondary,no,1706,no,no,cellular,2,jun,552,2,-1,0,success,yes
36,admin.,single,unknown,no,361,yes,no,unknown,7,may,280,1,-1,0,unknown,yes
43,admin.,married,secondary,no,3663,no,no,telephone,3,feb,56,3,-1,0,unknown,no
44,technician,married,secondary,no,1105,no,no,cellular,4,jun,206,3,-1,0,unknown,no
48,management,married,tertiary,no,8866,yes,no,cellular,16,nov,277,1,186,1,success,yes
31,technician,single,secondary,no,308,yes,no,unknown,27,may,134,1,-1,0,unknown,no
55,blue-collar,married,secondary,no,195,no,yes,cellular,19,jul,303,2,-1,0,unknown,no
44,blue-collar,married,secondary,no,4827,yes,yes,unknown,9,may,159,3,-1,0,unknown,no
43,blue-collar,married,secondary,no,525,yes,no,unknown,15,may,703,2,-1,0,unknown,no
45,management,single,unknown,no,415,no,no,cellular,26,may,282,7,-1,0,unknown,no
31,blue-collar,married,secondary,no,208,yes,no,unknown,14,may,810,3,-1,0,unknown,yes
27,admin.,single,tertiary,no,413,yes,no,cellular,14,apr,1133,2,-1,0,unknown,yes
48,blue-collar,married,secondary,no,279,no,no,cellular,11,aug,1213,1,-1,0,unknown,yes
23,admin.,single,secondary,no,1362,no,no,cellular,14,nov,126,3,183,4,success,yes
43,management,married,tertiary,no,3922,yes,yes,unknown,10,jun,2,21,-1,0,unknown,no
74,retired,married,unknown,no,1073,no,no,telephone,2,sep,295,3,-1,0,unknown,no
31,technician,married,primary,no,1175,yes,no,cellular,13,may,517,2,-1,0,unknown,no
56,entrepreneur,married,secondary,no,233,no,yes,cellular,2,nov,201,2,-1,0,unknown,no
62,retired,married,secondary,no,10877,no,no,cellular,12,mar,621,2,179,1,success,yes
32,blue-collar,single,unknown,no,2407,yes,no,telephone,29,may,412,1,-1,0,unknown,no
42,management,married,tertiary,no,1028,yes,yes,cellular,5,may,1188,4,310,9,other,no
39,management,married,secondary,no,1133,yes,yes,cellular,7,may,236,1,308,1,other,yes
37,admin.,married,secondary,yes,152,yes,yes,cellular,29,may,75,1,-1,0,unknown,no
36,management,married,tertiary,no,15237,no,no,cellular,21,oct,1163,2,-1,0,unknown,no
20,blue-collar,single,secondary,no,1533,yes,no,cellular,12,dec,75,2,183,1,failure,no
33,services,married,secondary,no,8583,yes,no,cellular,15,aug,306,2,182,6,failure,yes
44,technician,married,secondary,no,6424,yes,no,unknown,28,nov,86,1,-1,0,unknown,no
36,admin.,married,tertiary,no,21221,no,yes,cellular,10,nov,433,2,-1,0,unknown,yes
32,technician,married,secondary,no,151,no,yes,cellular,14,feb,422,1,-1,0,unknown,no
46,admin.,married,secondary,no,538,no,no,cellular,27,nov,59,1,-1,0,unknown,no
40,admin.,divorced,tertiary,no,3024,yes,no,cellular,18,nov,27,1,243,1,failure,yes
82,retired,married,primary,no,-7,no,yes,telephone,6,aug,328,6,-1,0,unknown,no
67,technician,married,primary,no,10997,no,no,telephone,3,jun,340,1,-1,0,unknown,yes
33,technician,divorced,tertiary,no,757,yes,yes,cellular,5,may,73,2,180,2,failure,no
45,technician,married,tertiary,no,1766,yes,no,cellular,2,feb,185,1,80,3,success,yes
49,admin.,married,secondary,no,1365,no,yes,unknown,5,may,488,3,-1,0,unknown,no
53,retired,married,secondary,no,1127,no,no,cellular,2,feb,147,8,-1,2,unknown,no
30,services,married,secondary,no,1392,yes,yes,cellular,19,nov,255,1,178,3,success,no
33,management,single,tertiary,no,4193,yes,no,cellular,7,sep,211,1,125,1,success,yes
35,management,married,tertiary,no,562,no,yes,cellular,15,jun,347,1,77,6,success,yes
37,management,married,tertiary,no,840,yes,no,cellular,6,may,308,1,228,1,success,no
43,blue-collar,single,secondary,yes,71,no,no,unknown,8,may,795,3,0,0,unknown,no
33,unemployed,single,unknown,no,33,no,no,cellular,7,jul,293,1,-1,0,unknown,no
55,services,married,secondary,no,1384,yes,no,cellular,12,nov,338,1,-1,0,unknown,no
37,management,married,tertiary,no,577,no,no,cellular,17,nov,118,1,-1,0,unknown,no
31,blue-collar,married,secondary,no,4585,yes,no,unknown,13,may,406,1,-1,0,unknown,no
46,entrepreneur,married,unknown,no,1280,no,yes,cellular,7,jul,103,8,-1,0,unknown,no
54,management,single,tertiary,no,6556,no,no,cellular,3,aug,170,2,-1,0,unknown,no
29,student,single,tertiary,no,9,no,no,cellular,25,jan,57,1,0,0,unknown,no
25,student,single,primary,no,64,no,no,cellular,16,mar,629,1,91,0,other,yes
27,blue-collar,single,unknown,no,3733,yes,no,unknown,5,jun,260,1,-1,0,unknown,no
43,services,married,tertiary,no,605,yes,no,cellular,7,nov,160,1,318,1,other,no
51,management,married,tertiary,no,1069,no,no,cellular,21,mar,133,4,105,6,other,yes
31,management,single,tertiary,no,924,yes,no,cellular,4,oct,1387,5,-1,0,unknown,yes
52,blue-collar,married,secondary,no,9472,no,no,cellular,11,dec,791,1,185,3,success,yes
37,self-employed,married,secondary,no,46,yes,no,unknown,14,may,321,1,-1,0,unknown,no
49,management,married,tertiary,no,279,no,no,cellular,12,mar,1179,1,-1,0,unknown,yes
27,blue-collar,single,secondary,no,305,yes,yes,unknown,25,may,6,1,-1,0,unknown,no
53,management,married,tertiary,no,9504,no,no,cellular,9,jul,276,3,77,7,success,no
38,admin.,divorced,secondary,no,3075,no,yes,cellular,20,nov,1083,1,112,6,success,yes
42,admin.,married,secondary,no,2031,no,yes,unknown,3,jun,741,1,0,0,unknown,yes
40,management,married,tertiary,no,702,yes,no,cellular,20,nov,44,3,0,0,unknown,no
42,management,married,secondary,yes,1884,no,no,unknown,29,jun,147,1,-1,0,unknown,no
37,retired,married,secondary,no,12044,yes,no,cellular,5,dec,350,3,-1,0,unknown,no
48,management,married,tertiary,no,1898,yes,no,cellular,14,nov,24,8,0,0,unknown,no
48,technician,married,secondary,no,2146,yes,no,cellular,27,aug,1354,3,-1,0,unknown,yes
31,student,married,tertiary,no,149,yes,no,cellular,21,mar,188,1,94,1,success,yes
38,management,married,tertiary,no,7222,yes,yes,cellular,17,jul,777,2,-1,0,unknown,yes
30,blue-collar,married,secondary,no,1376,yes,yes,unknown,4,feb,239,3,-1,0,unknown,no
50,retired,divorced,primary,yes,45,no,no,unknown,29,jul,947,2,0,0,unknown,no
46,blue-collar,married,primary,no,299,yes,no,unknown,5,jun,132,6,-1,0,unknown,no
37,management,married,tertiary,no,2844,yes,yes,cellular,14,may,230,2,311,3,other,yes
41,admin.,single,unknown,no,3778,no,no,unknown,17,nov,254,1,-1,0,unknown,yes
28,student,single,unknown,no,254,no,no,cellular,28,aug,273,1,183,1,unknown,yes
39,entrepreneur,married,tertiary,no,277,no,yes,unknown,18,aug,333,2,0,0,unknown,no
47,services,married,secondary,no,8290,yes,no,cellular,15,feb,184,8,173,1,failure,no
49,admin.,married,secondary,no,2651,yes,yes,unknown,3,jun,152,1,-1,0,unknown,no
45,management,married,tertiary,yes,168,no,yes,cellular,21,aug,237,2,-1,0,unknown,no
45,admin.,married,secondary,no,164,no,no,cellular,3,aug,789,2,0,0,unknown,yes
51,management,married,tertiary,no,-411,yes,no,telephone,13,feb,354,2,177,1,failure,no
41,retired,married,primary,no,307,no,no,cellular,15,aug,354,8,-1,0,unknown,yes
54,entrepreneur,married,tertiary,no,2806,yes,no,cellular,21,nov,661,2,-1,0,unknown,yes
53,blue-collar,married,tertiary,no,586,yes,yes,cellular,9,may,710,1,296,6,failure,no
38,management,single,tertiary,no,1459,no,no,cellular,17,sep,310,1,-1,0,unknown,yes
59,admin.,married,secondary,no,197,yes,no,unknown,15,may,31,1,294,3,failure,no
32,admin.,married,secondary,no,213,yes,no,unknown,22,jun,1186,2,-1,0,unknown,no
60,retired,divorced,primary,yes,-117,no,no,unknown,4,jun,243,1,-1,0,unknown,yes
55,services,married,tertiary,no,6101,yes,no,cellular,14,nov,460,10,-1,0,unknown,no
50,management,married,tertiary,no,871,no,no,cellular,22,aug,198,5,0,0,unknown,no
57,technician,married,secondary,no,1923,no,no,cellular,3,oct,1434,1,185,2,success,yes
60,unknown,married,secondary,no,3114,yes,yes,telephone,3,feb,444,3,-1,0,unknown,no
33,technician,single,tertiary,yes,-339,yes,no,unknown,4,may,281,1,-1,0,unknown,no
30,management,married,tertiary,no,44,no,yes,cellular,31,jul,419,4,-1,0,unknown,no
31,blue-collar,married,secondary,no,2437,yes,yes,cellular,30,jul,135,11,-1,0,unknown,no
27,management,single,tertiary,no,13686,no,no,cellular,25,apr,1671,2,-1,0,unknown,yes
36,management,married,tertiary,yes,34,yes,yes,cellular,8,aug,135,2,0,0,unknown,no
48,blue-collar,married,primary,no,3091,no,yes,cellular,6,jul,583,1,-1,0,unknown,no
50,unemployed,married,primary,no,158,no,no,cellular,1,jun,303,8,0,0,unknown,yes
55,admin.,married,secondary,no,3088,no,no,cellular,5,feb,42,1,172,6,success,no
44,management,single,tertiary,yes,1494,no,yes,cellular,25,jul,182,8,-1,0,unknown,no
37,services,married,secondary,no,1536,yes,no,cellular,21,nov,822,1,-1,0,unknown,no
48,technician,married,secondary,no,5574,yes,no,unknown,5,may,188,1,-1,0,unknown,no
43,admin.,single,tertiary,no,4537,no,no,cellular,2,feb,291,1,-1,0,unknown,no
33,management,married,tertiary,no,953,yes,no,cellular,12,jun,535,1,88,1,success,yes
28,blue-collar,single,secondary,no,2709,no,no,cellular,18,oct,646,2,-1,0,unknown,yes
31,admin.,married,secondary,no,654,yes,yes,cellular,1,jun,475,4,0,0,unknown,no
71,retired,married,tertiary,no,1352,no,no,cellular,11,aug,779,3,-1,0,unknown,yes
40,technician,single,secondary,no,1563,yes,no,cellular,18,nov,365,1,-1,0,unknown,yes
26,admin.,married,secondary,no,135,yes,yes,cellular,11,nov,891,1,311,1,other,no
28,self-employed,single,tertiary,no,153,no,no,cellular,4,sep,270,1,-1,0,unknown,no
67,housemaid,married,secondary,no,6284,no,no,cellular,24,jul,1012,3,-1,0,unknown,yes
49,technician,married,secondary,no,2906,yes,no,cellular,21,may,66,7,175,4,failure,no
59,retired,married,primary,no,-160,yes,yes,unknown,3,jul,627,1,-1,0,unknown,yes
47,entrepreneur,married,tertiary,no,173,no,no,cellular,19,feb,57,2,-1,0,unknown,no
41,management,single,tertiary,no,1063,no,no,cellular,24,aug,227,4,503,1,unknown,no
26,self-employed,single,tertiary,no,362,yes,yes,cellular,7,may,438,1,88,4,failure,no
45,blue-collar,married,secondary,no,321,yes,yes,unknown,5,may,651,1,-1,0,unknown,no
37,retired,divorced,primary,no,642,no,no,cellular,15,jul,482,2,-1,0,unknown,no
44,technician,married,unknown,no,387,no,no,cellular,5,jul,917,2,0,0,unknown,no
23,student,single,unknown,no,424,no,no,cellular,22,aug,224,2,-1,0,unknown,no
61,retired,married,primary,no,282,yes,no,unknown,9,may,134,3,-1,0,unknown,no
52,blue-collar,married,primary,no,390,yes,yes,cellular,28,may,300,2,-1,0,unknown,no
35,blue-collar,married,secondary,no,2077,yes,no,cellular,18,nov,118,1,-1,0,unknown,no
37,self-employed,single,tertiary,no,10,no,no,telephone,26,jul,68,6,-1,0,unknown,no
48,management,married,tertiary,no,2401,yes,no,cellular,10,feb,238,1,-1,0,unknown,no
33,student,single,tertiary,no,798,no,no,unknown,6,jun,1201,1,-1,0,unknown,no
30,blue-collar,divorced,tertiary,no,5759,yes,no,cellular,14,may,544,2,0,0,unknown,yes
34,admin.,married,secondary,no,-104,yes,yes,cellular,7,may,27,1,-1,0,unknown,no
36,technician,married,tertiary,no,11162,no,no,cellular,27,feb,77,1,187,1,failure,yes
52,services,single,secondary,no,89,no,yes,cellular,4,aug,134,1,0,0,unknown,no
28,management,single,tertiary,no,1055,yes,no,cellular,21,may,106,1,258,0,other,no
38,technician,married,secondary,no,224,yes,no,cellular,4,aug,241,1,284,1,failure,no
47,retired,married,primary,no,479,no,no,cellular,18,aug,467,1,-1,0,unknown,yes
49,self-employed,married,tertiary,no,2362,yes,no,cellular,13,nov,238,1,-1,1,failure,no
40,retired,married,primary,no,1760,no,no,cellular,2,feb,624,1,178,3,success,yes
45,admin.,married,secondary,no,185,yes,no,cellular,12,may,293,1,-1,0,unknown,no
41,technician,married,secondary,yes,530,yes,yes,unknown,6,may,64,1,0,0,unknown,no
40,services,married,secondary,no,54,no,yes,unknown,27,may,14,1,-1,0,unknown,no
39,technician,divorced,tertiary,no,1119,yes,no,cellular,18,may,90,1,312,1,failure,no
44,entrepreneur,married,tertiary,no,705,yes,no,cellular,28,aug,19,1,0,0,unknown,no
41,services,married,secondary,no,3868,yes,yes,cellular,1,feb,256,1,-1,0,other,no
30,technician,married,tertiary,no,3789,no,no,cellular,17,jul,468,3,-1,0,unknown,no
42,admin.,married,secondary,no,42,no,no,unknown,14,may,533,1,0,0,unknown,no
31,blue-collar,married,secondary,no,235,yes,yes,cellular,22,may,295,1,-1,0,unknown,no
58,admin.,divorced,secondary,no,2071,yes,no,unknown,9,jun,347,1,182,1,success,yes
32,admin.,married,secondary,no,299,yes,no,unknown,16,may,141,1,-1,0,unknown,no
41,blue-collar,married,secondary,no,9214,yes,no,cellular,9,nov,82,1,-1,0,unknown,no
47,services,single,primary,yes,373,yes,yes,cellular,25,nov,262,1,-1,1,unknown,no
41,admin.,single,tertiary,no,2668,yes,no,cellular,14,may,1250,1,310,4,failure,yes
29,student,single,tertiary,no,3737,no,no,cellular,25,dec,352,2,-1,0,unknown,yes
33,technician,single,secondary,no,16196,no,no,cellular,5,jul,1512,1,-1,0,unknown,yes
41,technician,married,tertiary,no,1272,no,no,unknown,5,nov,109,1,0,0,unknown,no
42,services,single,secondary,no,-455,no,no,cellular,30,oct,276,2,-1,0,unknown,no
63,admin.,married,tertiary,no,351,yes,no,cellular,15,nov,487,1,186,0,failure,yes
80,retired,married,primary,no,125,no,no,telephone,6,feb,224,3,-1,0,unknown,no
44,retired,married,secondary,no,6806,no,no,cellular,4,dec,169,1,96,8,success,yes
26,management,single,tertiary,no,476,no,no,cellular,22,feb,323,2,96,1,failure,no
50,admin.,single,secondary,no,325,no,no,cellular,10,jun,489,2,-1,0,unknown,yes
28,services,single,unknown,no,778,yes,no,cellular,15,nov,1358,1,0,0,unknown,no
45,management,single,tertiary,no,2038,yes,yes,cellular,2,sep,260,1,181,1,success,yes
42,management,married,tertiary,no,259,no,yes,cellular,9,jul,112,2,-1,0,unknown,no
31,admin.,single,secondary,no,1013,yes,no,cellular,15,nov,330,1,177,0,unknown,no
45,technician,married,secondary,no,237,yes,yes,cellular,22,may,363,7,335,1,other,no
59,retired,divorced,primary,no,1626,yes,no,cellular,10,may,813,1,-1,0,unknown,yes
29,student,single,secondary,no,107,no,no,cellular,14,may,261,1,294,9,other,no
36,blue-collar,single,secondary,no,2018,yes,no,cellular,14,aug,559,1,88,1,failure,no
35,self-employed,single,tertiary,no,2958,yes,no,unknown,22,may,113,1,-1,0,unknown,no
49,blue-collar,married,tertiary,no,849,no,no,cellular,16,feb,124,6,-1,0,unknown,no
39,management,married,tertiary,no,13394,no,no,cellular,14,nov,550,1,180,4,failure,yes
34,self-employed,single,tertiary,no,193,yes,no,cellular,5,nov,149,3,-1,4,failure,no
37,unemployed,married,secondary,no,15237,no,yes,cellular,12,feb,297,4,307,1,failure,yes
51,entrepreneur,married,primary,no,3312,no,yes,cellular,18,jun,67,2,-1,0,unknown,no
32,student,single,secondary,no,5756,yes,no,cellular,18,apr,292,3,182,4,failure,yes
40,housemaid,divorced,tertiary,no,1594,no,no,cellular,24,oct,270,1,95,0,failure,no
33,unemployed,single,unknown,no,4402,no,no,cellular,5,apr,949,1,92,4,success,yes
24,management,single,unknown,no,2992,no,yes,cellular,12,jul,114,3,-1,0,unknown,no
46,technician,married,tertiary,no,223,no,yes,cellular,19,sep,972,3,92,0,success,yes
31,technician,single,unknown,no,4101,no,no,cellular,17,nov,63,1,89,1,success,yes
47,housemaid,married,unknown,no,-129,no,no,cellular,9,nov,59,2,0,1,unknown,no
29,self-employed,married,tertiary,no,3294,yes,no,cellular,16,feb,375,2,-1,0,unknown,no
43,technician,single,primary,no,4776,no,no,cellular,14,apr,342,3,109,1,failure,no
56,retired,divorced,secondary,no,2066,no,no,cellular,6,feb,450,4,0,0,unknown,yes
39,admin.,single,secondary,no,3261,yes,no,cellular,10,may,186,1,323,3,success,yes
41,management,married,secondary,no,2515,yes,yes,unknown,5,jun,125,1,0,0,unknown,no
34,blue-collar,single,tertiary,no,1383,yes,no,cellular,24,nov,725,3,88,4,success,yes
50,entrepreneur,married,primary,no,-98,no,yes,cellular,24,jul,736,2,-1,0,unknown,no
35,technician,single,secondary,no,24,yes,no,cellular,27,jul,81,1,-1,0,unknown,no
35,admin.,single,secondary,no,936,yes,no,unknown,21,may,211,3,-1,0,unknown,no
32,self-employed,married,secondary,no,5918,yes,no,cellular,19,nov,243,1,370,0,unknown,no
74,management,married,primary,no,5478,no,yes,cellular,6,oct,547,1,84,2,success,yes
45,services,married,secondary,no,5054,no,no,unknown,1,jun,101,2,-1,0,unknown,no
34,management,single,tertiary,no,3240,yes,no,cellular,25,apr,758,2,-1,0,unknown,no
35,student,single,unknown,no,216,no,no,cellular,18,sep,811,1,94,0,success,yes
73,retired,married,secondary,no,36,no,no,cellular,21,jan,372,1,105,9,success,yes
41,services,married,primary,no,3746,no,no,cellular,9,jul,170,1,-1,0,unknown,no
32,technician,married,primary,no,960,no,no,cellular,6,feb,912,1,-1,0,unknown,no
41,management,single,tertiary,no,404,no,no,cellular,25,aug,1190,11,-1,0,unknown,yes
30,admin.,single,primary,no,785,no,no,cellular,25,jul,98,1,-1,0,unknown,no
27,technician,single,secondary,no,178,yes,no,cellular,14,may,5,3,-1,0,unknown,no
36,entrepreneur,married,tertiary,no,3162,no,yes,unknown,25,may,436,3,-1,0,unknown,yes
45,management,married,tertiary,no,1093,yes,yes,cellular,20,apr,136,4,321,3,other,no
71,blue-collar,single,secondary,no,1934,no,no,cellular,6,oct,178,1,-1,0,unknown,yes
52,management,single,tertiary,no,821,no,yes,telephone,6,feb,125,1,183,2,failure,yes
37,technician,married,secondary,no,2084,no,no,cellular,17,nov,509,1,-1,0,unknown,yes
51,technician,married,unknown,no,853,yes,no,cellular,2,aug,393,2,-1,0,unknown,no
53,housemaid,single,tertiary,no,1811,yes,no,unknown,27,jun,106,1,-1,0,unknown,no
24,admin.,married,secondary,no,2928,no,no,unknown,29,nov,205,2,-1,0,unknown,no
32,management,married,tertiary,no,9517,yes,no,cellular,9,may,451,2,-1,0,unknown,no
28,management,single,tertiary,no,16074,yes,yes,unknown,26,nov,321,1,177,3,other,no
28,services,married,secondary,no,-7,no,no,cellular,8,jun,213,1,101,2,other,yes
32,management,married,tertiary,no,326,no,no,cellular,22,jul,191,3,-1,0,unknown,yes
