age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
59,blue-collar,divorced,primary,no,97,no,yes,cellular,12,may,74,2,-1,0,unknown,no
41,admin.,divorced,secondary,no,1168,no,no,cellular,20,nov,729,1,0,0,unknown,yes
44,blue-collar,married,primary,no,737,no,no,cellular,14,dec,141,2,-1,0,unknown,yes
33,blue-collar,single,secondary,no,136,yes,no,cellular,18,apr,742,1,94,5,failure,yes
35,admin.,single,secondary,no,2263,yes,no,cellular,24,nov,392,1,568,1,failure,yes
28,unemployed,single,unknown,no,439,no,no,cellular,13,jan,336,3,111,3,failure,no
42,self-employed,single,tertiary,no,153,no,no,telephone,13,feb,327,8,91,3,success,yes
29,management,single,tertiary,no,1685,yes,no,cellular,20,nov,206,1,190,6,other,no
50,retired,married,secondary,no,1957,no,no,cellular,4,nov,115,1,-1,0,unknown,no
35,technician,married,tertiary,no,397,yes,no,cellular,7,jul,60,2,-1,0,unknown,no
32,self-employed,single,tertiary,no,209,yes,no,telephone,18,may,1161,2,-1,0,unknown,yes
49,blue-collar,divorced,primary,no,1338,yes,yes,unknown,24,may,264,2,0,0,unknown,no
19,student,single,unknown,no,488,no,no,cellular,6,mar,425,3,187,2,success,yes
36,unknown,single,secondary,no,598,no,no,cellular,23,apr,1055,3,0,0,unknown,yes
46,blue-collar,married,secondary,no,135,yes,no,unknown,3,may,176,2,0,0,unknown,no
24,student,single,unknown,no,1182,yes,no,unknown,4,apr,1011,2,-1,0,unknown,yes
32,services,divorced,tertiary,no,523,yes,no,cellular,21,may,180,2,186,1,success,yes
56,retired,married,primary,no,1631,no,yes,cellular,31,jul,308,3,0,0,unknown,yes
18,student,single,unknown,yes,335,no,no,cellular,19,feb,430,3,0,0,unknown,yes
43,self-employed,married,tertiary,no,549,no,no,unknown,22,jun,1851,2,0,0,unknown,yes
41,management,married,tertiary,no,3138,no,yes,cellular,15,apr,471,2,364,1,other,no
24,student,single,unknown,no,-88,no,no,cellular,15,oct,340,1,100,1,failure,yes
45,technician,single,tertiary,no,876,no,no,cellular,29,may,115,19,0,0,unknown,yes
34,technician,married,tertiary,no,310,yes,yes,cellular,21,jul,86,4,-1,0,unknown,no
49,management,married,primary,no,2105,no,yes,unknown,18,jul,329,2,-1,0,unknown,yes
46,management,single,tertiary,no,648,no,no,cellular,22,may,374,4,96,3,success,yes
77,retired,divorced,primary,no,600,no,no,telephone,15,feb,453,2,134,1,failure,yes
44,blue-collar,married,primary,no,673,no,no,unknown,12,may,1265,2,-1,0,unknown,no
42,services,married,secondary,no,1271,yes,no,cellular,15,may,131,1,182,4,failure,no
57,retired,divorced,unknown,no,3284,no,no,cellular,20,oct,580,1,-1,0,unknown,yes
41,blue-collar,married,primary,no,336,no,yes,telephone,14,jul,101,6,308,1,failure,yes
42,unemployed,married,unknown,no,327,no,no,unknown,5,aug,763,4,-1,0,unknown,no
70,admin.,divorced,secondary,no,2886,no,no,cellular,4,aug,385,3,185,3,success,yes
40,unemployed,married,tertiary,no,153,no,no,cellular,5,apr,75,6,-1,0,unknown,no
41,blue-collar,married,primary,no,177,yes,no,unknown,28,may,161,3,-1,0,unknown,no
44,self-employed,married,secondary,yes,-34,no,no,cellular,23,jul,382,5,-1,0,unknown,no
37,technician,married,unknown,no,120,no,no,cellular,18,dec,431,2,98,1,failure,yes
56,self-employed,divorced,tertiary,no,-58,yes,no,unknown,17,apr,562,2,-1,0,unknown,yes
44,blue-collar,single,secondary,no,3805,yes,no,cellular,22,jan,340,2,191,1,other,yes
47,management,married,tertiary,no,246,yes,no,unknown,5,may,410,1,0,0,unknown,yes
45,management,married,tertiary,no,10498,no,no,cellular,8,feb,93,1,-1,0,unknown,no
40,technician,single,secondary,no,131,yes,no,unknown,20,may,372,1,-1,0,unknown,no
35,blue-collar,married,secondary,no,578,yes,no,cellular,28,jul,219,2,0,0,unknown,no
48,management,married,secondary,no,102,yes,no,unknown,8,may,69,1,-1,0,unknown,no
56,management,married,tertiary,no,222,yes,no,unknown,29,aug,22,4,0,0,unknown,no
36,technician,single,tertiary,no,303,yes,no,cellular,17,apr,122,1,0,0,unknown,no
47,admin.,married,secondary,no,108,no,no,unknown,21,may,171,1,-1,0,unknown,no
48,management,divorced,tertiary,yes,140,no,no,cellular,14,mar,451,3,-1,0,unknown,yes
38,admin.,married,secondary,no,1377,no,no,cellular,20,nov,686,2,0,0,unknown,yes
32,entrepreneur,married,secondary,no,611,yes,no,unknown,18,may,944,1,-1,0,unknown,no
59,blue-collar,married,unknown,no,219,no,no,unknown,22,may,140,1,-1,0,unknown,no
35,blue-collar,single,secondary,no,519,no,no,cellular,5,nov,389,7,370,3,other,yes
54,management,single,unknown,no,251,no,no,unknown,14,jul,116,6,-1,0,unknown,yes
40,admin.,married,secondary,no,1616,yes,no,unknown,20,may,141,3,0,0,unknown,no
37,blue-collar,single,primary,no,1028,yes,no,cellular,30,jan,305,4,346,1,failure,no
45,technician,single,primary,no,1023,yes,no,unknown,4,apr,784,3,-1,0,unknown,no
31,services,single,secondary,no,1570,yes,no,cellular,21,nov,211,2,-1,0,unknown,no
60,admin.,married,primary,no,218,no,no,cellular,29,jul,112,4,-1,0,unknown,no
35,services,single,secondary,no,149,yes,no,cellular,22,apr,1243,1,346,2,success,yes
33,admin.,married,secondary,no,373,yes,no,cellular,18,nov,550,1,-1,0,unknown,yes
26,blue-collar,single,secondary,no,590,yes,no,cellular,9,nov,719,1,-1,0,unknown,yes
52,services,married,secondary,yes,571,no,no,cellular,13,nov,799,2,0,0,unknown,yes
36,services,divorced,secondary,no,1796,yes,no,cellular,21,jul,62,2,0,0,unknown,no
38,retired,married,secondary,no,632,no,no,cellular,12,jun,470,1,93,4,success,yes
37,blue-collar,married,tertiary,no,1060,yes,yes,unknown,4,jun,31,3,0,0,unknown,no
28,blue-collar,single,primary,no,385,yes,no,cellular,29,nov,345,4,0,0,unknown,no
36,unemployed,married,secondary,no,3146,yes,no,unknown,19,jun,257,2,0,0,unknown,no
29,services,single,secondary,no,173,yes,no,unknown,11,may,147,2,0,0,unknown,no
53,retired,married,primary,no,3499,no,no,telephone,20,mar,284,4,-1,0,unknown,no
25,blue-collar,single,primary,no,52,yes,no,unknown,19,may,955,3,0,0,unknown,yes
39,admin.,married,secondary,no,1345,yes,no,cellular,16,apr,1205,1,94,0,unknown,no
40,admin.,married,tertiary,no,959,yes,no,unknown,15,jun,430,1,93,1,failure,yes
42,management,single,tertiary,no,312,no,no,cellular,6,mar,470,1,181,1,success,yes
62,management,married,tertiary,no,1856,yes,no,unknown,19,may,517,19,0,0,unknown,no
69,retired,divorced,primary,no,324,no,no,telephone,31,jul,217,1,0,0,unknown,yes
37,retired,married,secondary,no,233,no,no,cellular,15,aug,829,2,183,2,success,yes
54,unemployed,married,tertiary,no,548,yes,yes,cellular,29,apr,81,3,-1,0,unknown,no
68,retired,married,primary,no,203,no,no,cellular,20,oct,369,3,-1,0,unknown,yes
47,management,single,tertiary,no,20,no,no,telephone,21,jul,148,4,-1,0,unknown,no
37,blue-collar,single,primary,no,1023,yes,no,unknown,12,may,179,1,399,1,other,no
44,blue-collar,married,secondary,no,-124,yes,yes,cellular,31,jul,132,1,-1,0,unknown,no
42,blue-collar,married,tertiary,yes,-77,yes,no,unknown,12,may,361,3,-1,0,unknown,yes
28,management,single,tertiary,yes,386,no,no,cellular,21,jun,1255,4,-1,0,unknown,yes
32,unemployed,single,secondary,no,350,yes,no,cellular,22,dec,637,1,0,0,unknown,no
33,management,single,tertiary,no,262,yes,no,cellular,3,aug,193,3,0,0,unknown,no
45,technician,married,secondary,no,180,no,no,cellular,8,jul,508,2,-1,0,unknown,no
54,management,divorced,tertiary,no,-23,no,yes,cellular,5,jun,910,5,-1,0,unknown,yes
33,blue-collar,married,secondary,no,65,yes,yes,cellular,19,apr,22,1,-1,0,unknown,no
41,technician,married,secondary,no,260,no,no,unknown,9,jun,188,2,345,3,failure,no
30,blue-collar,married,secondary,no,481,yes,no,cellular,29,oct,80,1,378,4,failure,no
46,blue-collar,married,primary,no,234,yes,no,unknown,10,may,112,2,-1,0,unknown,no
42,entrepreneur,married,secondary,no,3287,yes,no,telephone,20,apr,2303,2,182,3,failure,yes
31,admin.,divorced,secondary,no,491,yes,yes,unknown,21,may,908,3,-1,0,unknown,yes
34,management,married,tertiary,no,878,yes,no,cellular,4,jun,75,3,-1,0,unknown,no
57,blue-collar,divorced,secondary,no,229,yes,yes,unknown,28,jun,184,2,-1,0,unknown,no
39,admin.,single,secondary,no,104,no,no,cellular,19,jul,364,5,0,0,unknown,no
34,admin.,married,secondary,no,99,yes,no,unknown,29,may,272,3,0,0,unknown,no
39,services,married,primary,no,280,no,no,cellular,21,feb,58,3,184,3,success,yes
28,management,single,tertiary,no,393,yes,yes,cellular,20,may,1264,1,93,10,success,yes
34,blue-collar,single,secondary,no,388,yes,no,cellular,17,apr,404,1,333,1,failure,yes
26,management,single,tertiary,no,762,yes,no,cellular,29,nov,1525,2,0,0,unknown,no
47,blue-collar,married,secondary,no,436,yes,no,cellular,30,feb,162,2,-1,0,unknown,no
38,technician,divorced,secondary,no,118,no,no,cellular,22,aug,609,2,1,0,unknown,no
51,blue-collar,married,tertiary,no,-58,no,no,cellular,4,jul,333,1,178,4,success,yes
55,retired,married,tertiary,no,1204,no,no,telephone,15,jan,398,2,0,4,unknown,yes
39,services,married,secondary,no,432,yes,yes,cellular,16,nov,77,8,1,0,unknown,no
53,entrepreneur,married,secondary,no,780,no,no,unknown,13,feb,194,1,-1,0,unknown,yes
37,technician,married,secondary,no,3556,no,no,cellular,3,nov,401,2,99,3,failure,yes
36,management,single,unknown,no,-3,no,no,unknown,7,jun,101,5,-1,0,unknown,no
32,management,divorced,tertiary,no,196,yes,no,unknown,21,jun,89,1,-1,0,unknown,no
47,management,married,secondary,no,1020,no,no,cellular,6,nov,174,1,-1,0,unknown,no
45,blue-collar,married,secondary,no,3525,no,no,cellular,21,jul,284,2,-1,0,unknown,no
32,technician,single,secondary,no,2504,yes,no,cellular,21,apr,1157,3,-1,0,unknown,yes
29,management,divorced,tertiary,no,-104,yes,no,unknown,7,dec,344,1,-1,0,unknown,yes
36,blue-collar,married,secondary,no,432,yes,yes,unknown,15,jun,133,3,-1,0,unknown,no
35,blue-collar,married,primary,no,504,yes,no,unknown,13,mar,200,2,-1,0,unknown,yes
35,technician,single,secondary,no,826,yes,no,cellular,13,may,143,2,0,0,unknown,no
44,blue-collar,married,secondary,no,609,yes,no,cellular,22,jul,46,7,0,0,unknown,no
30,admin.,single,secondary,no,312,no,no,cellular,24,jul,300,1,-1,0,unknown,yes
54,self-employed,married,tertiary,no,945,no,no,unknown,5,jun,1617,1,0,0,unknown,no
46,blue-collar,married,secondary,no,272,no,no,cellular,22,may,1268,3,0,0,unknown,yes
38,blue-collar,divorced,primary,yes,-65,no,no,cellular,23,jul,84,5,-1,0,unknown,no
35,management,single,tertiary,no,303,yes,no,cellular,2,jun,364,1,349,1,success,no
31,blue-collar,married,unknown,no,709,yes,no,cellular,21,apr,107,2,0,0,unknown,yes
30,technician,single,tertiary,no,441,yes,no,cellular,23,apr,122,1,0,0,unknown,no
32,management,single,tertiary,no,152,yes,yes,cellular,18,nov,1091,3,-1,0,unknown,yes
49,management,single,tertiary,no,1635,yes,no,cellular,15,feb,183,1,-1,0,unknown,yes
40,admin.,married,secondary,no,741,no,yes,cellular,9,jul,67,2,-1,0,unknown,no
47,entrepreneur,married,secondary,yes,322,no,no,cellular,31,aug,12,6,0,0,unknown,no
36,blue-collar,single,primary,no,285,yes,no,unknown,6,may,332,2,362,0,unknown,no
50,self-employed,married,tertiary,no,657,yes,yes,cellular,19,nov,226,1,0,0,unknown,no
41,self-employed,single,tertiary,no,696,no,no,cellular,21,nov,269,2,0,0,unknown,no
37,management,single,secondary,no,441,yes,yes,cellular,22,nov,117,3,0,0,unknown,no
45,entrepreneur,married,secondary,no,588,yes,no,unknown,9,may,132,2,305,3,unknown,no
64,technician,married,primary,no,3560,no,no,telephone,28,aug,361,1,97,1,failure,yes
28,admin.,single,secondary,no,292,yes,no,unknown,20,may,345,1,356,0,unknown,no
33,blue-collar,single,secondary,yes,-208,no,yes,cellular,18,nov,766,1,0,0,unknown,no
41,retired,married,tertiary,no,1763,no,no,cellular,26,mar,1070,3,-1,0,unknown,yes
63,retired,married,tertiary,no,11894,no,no,telephone,29,sep,1310,1,-1,0,unknown,yes
56,blue-collar,married,primary,no,240,yes,no,unknown,21,apr,1457,3,-1,0,unknown,yes
27,admin.,divorced,secondary,no,271,yes,yes,cellular,20,nov,12,1,0,0,unknown,no
39,admin.,single,tertiary,no,358,yes,no,cellular,16,nov,171,1,200,2,failure,no
69,admin.,married,primary,no,251,no,no,cellular,13,feb,602,1,-1,0,unknown,yes
40,technician,single,secondary,no,442,no,no,unknown,9,jun,219,1,-1,0,unknown,yes
58,technician,married,secondary,no,2012,yes,yes,unknown,19,may,87,1,-1,0,unknown,no
34,self-employed,single,primary,yes,-116,yes,no,cellular,20,jun,1315,1,-1,0,unknown,no
32,services,single,unknown,no,222,yes,no,unknown,23,may,98,19,1,0,unknown,no
53,management,married,tertiary,no,28572,no,no,cellular,18,aug,513,3,0,0,unknown,yes
41,technician,single,tertiary,no,1874,no,no,cellular,22,apr,850,1,-1,0,unknown,yes
70,retired,married,primary,no,312,no,no,telephone,18,jul,785,3,-1,0,unknown,no
35,technician,single,secondary,yes,164,yes,no,cellular,15,apr,589,1,325,0,success,yes
30,management,single,tertiary,no,350,no,yes,cellular,31,jul,81,4,-1,0,unknown,no
37,technician,single,tertiary,no,290,yes,no,unknown,20,jun,382,2,0,1,unknown,no
30,admin.,single,secondary,no,399,yes,no,cellular,17,apr,785,1,182,1,failure,yes
50,management,married,secondary,yes,52,no,no,cellular,28,jul,621,5,-1,0,unknown,yes
30,management,single,tertiary,no,1272,no,no,telephone,29,feb,71,1,-1,0,unknown,yes
34,services,married,secondary,no,1577,no,no,cellular,26,apr,603,2,304,3,failure,yes
30,blue-collar,single,primary,no,230,no,no,cellular,31,aug,45,4,1,0,unknown,no
37,management,married,tertiary,no,130,yes,no,cellular,22,may,374,1,327,7,failure,yes
55,services,divorced,tertiary,no,69,yes,no,cellular,19,jul,127,5,-1,0,unknown,no
46,services,married,secondary,no,953,yes,no,unknown,4,may,368,2,-1,0,unknown,no
30,management,single,unknown,no,360,yes,no,unknown,14,may,69,1,0,0,unknown,no
39,management,single,tertiary,no,3110,no,no,telephone,5,sep,348,3,99,3,success,yes
52,blue-collar,married,primary,no,1207,no,no,telephone,16,oct,370,2,341,1,other,no
42,entrepreneur,married,secondary,no,1102,yes,yes,unknown,21,nov,685,1,0,0,unknown,no
32,management,married,tertiary,no,322,yes,no,unknown,12,jul,74,6,0,0,unknown,no
33,unemployed,single,secondary,no,5647,yes,no,unknown,16,may,1729,3,0,0,unknown,no
32,management,single,primary,no,166,yes,yes,cellular,8,jul,60,8,0,0,unknown,no
30,student,single,tertiary,no,186,yes,no,telephone,22,apr,111,1,341,1,failure,yes
36,management,single,tertiary,no,887,yes,no,unknown,31,feb,688,1,0,0,unknown,yes
30,technician,single,secondary,no,263,yes,no,cellular,8,apr,89,1,385,4,failure,no
73,retired,divorced,primary,no,103,no,no,cellular,21,jul,334,1,-1,0,unknown,no
40,services,married,tertiary,no,139,no,no,cellular,15,feb,34,3,297,9,failure,no
52,management,married,tertiary,no,1242,no,yes,cellular,29,aug,107,8,0,0,unknown,yes
36,self-employed,single,tertiary,no,1450,yes,no,cellular,18,apr,482,1,468,1,failure,no
54,blue-collar,married,primary,no,225,no,no,unknown,10,jul,317,2,-1,0,unknown,no
45,services,divorced,primary,no,14,yes,no,unknown,15,may,41,5,0,0,unknown,no
44,blue-collar,married,secondary,no,1118,yes,no,cellular,20,may,239,2,-1,0,unknown,no
31,student,single,secondary,no,1387,yes,no,cellular,21,may,155,1,-1,0,unknown,no
47,blue-collar,married,primary,no,1078,yes,no,cellular,28,feb,95,3,-1,0,unknown,no
45,management,single,tertiary,no,543,yes,no,cellular,29,jul,89,3,0,0,unknown,no
32,self-employed,divorced,tertiary,no,757,yes,no,unknown,21,apr,1133,3,-1,0,unknown,no
69,services,married,secondary,no,125,yes,no,telephone,13,apr,969,3,176,4,success,yes
50,technician,married,secondary,no,6673,yes,yes,cellular,16,apr,351,2,-1,0,unknown,no
53,unemployed,married,secondary,no,82,no,no,unknown,19,jun,894,2,-1,0,unknown,yes
50,blue-collar,divorced,secondary,no,-234,no,no,telephone,14,apr,79,5,0,0,unknown,yes
31,services,married,secondary,no,1262,yes,yes,cellular,30,feb,24,1,350,10,failure,no
24,management,single,tertiary,no,2916,no,no,cellular,22,oct,991,1,141,10,failure,yes
56,technician,married,secondary,no,282,no,no,cellular,9,jul,420,2,314,0,other,no
42,blue-collar,single,secondary,no,1579,yes,no,cellular,21,may,253,1,0,0,unknown,no
57,blue-collar,married,secondary,no,1008,no,no,cellular,31,jul,185,2,0,0,unknown,no
35,management,single,tertiary,no,454,no,no,cellular,29,feb,75,2,-1,6,other,no
35,technician,single,secondary,no,685,yes,no,cellular,18,apr,776,3,0,0,unknown,yes
51,admin.,married,secondary,no,3344,no,no,cellular,5,jun,1401,2,176,3,success,yes
61,retired,married,primary,no,2638,no,no,unknown,28,jun,214,2,0,0,unknown,no
62,blue-collar,married,secondary,no,331,yes,no,unknown,12,may,88,1,-1,0,unknown,no
33,admin.,single,secondary,no,889,yes,no,cellular,6,jun,321,1,295,1,failure,yes
74,retired,divorced,primary,no,1960,no,no,cellular,28,aug,578,1,192,3,success,yes
40,management,married,tertiary,no,197,yes,no,cellular,6,apr,254,5,-1,0,unknown,no
57,blue-collar,married,primary,no,496,yes,no,unknown,30,may,50,3,-1,0,unknown,no
36,management,single,tertiary,no,466,no,no,cellular,29,aug,1074,2,-1,0,unknown,yes
35,blue-collar,single,secondary,no,82,yes,no,cellular,28,apr,743,3,1,0,unknown,yes
37,blue-collar,single,secondary,no,345,yes,no,cellular,13,feb,216,1,186,2,success,yes
32,technician,single,secondary,no,1168,yes,no,unknown,22,apr,320,4,0,0,unknown,no
45,blue-collar,married,tertiary,no,287,yes,no,unknown,12,may,119,5,0,0,unknown,no
38,blue-collar,married,secondary,no,832,yes,no,cellular,1,feb,354,5,-1,0,unknown,no
31,services,married,secondary,no,586,yes,yes,unknown,20,may,154,2,0,0,unknown,no
32,services,single,secondary,no,286,yes,no,unknown,15,may,175,2,-1,0,unknown,no
68,retired,married,tertiary,no,3524,no,no,cellular,3,dec,392,3,94,1,success,yes
58,admin.,single,secondary,no,2944,yes,no,cellular,18,feb,1046,3,339,2,failure,yes
21,student,single,tertiary,no,1674,no,no,cellular,18,mar,753,3,0,0,unknown,yes
37,management,single,tertiary,no,4264,yes,no,cellular,21,oct,539,2,0,0,unknown,no
41,management,married,tertiary,no,243,no,no,unknown,30,may,427,1,-1,0,unknown,no
32,blue-collar,single,primary,no,307,no,no,cellular,29,may,520,1,0,0,unknown,no
43,blue-collar,married,secondary,no,988,no,no,cellular,15,dec,281,3,184,3,failure,yes
30,blue-collar,single,secondary,no,2776,yes,yes,telephone,19,jan,117,2,0,0,unknown,no
30,technician,married,secondary,no,1083,yes,no,cellular,23,apr,164,1,1,0,unknown,no
29,management,single,tertiary,no,915,no,yes,cellular,22,jul,346,1,-1,0,unknown,yes
41,management,single,tertiary,no,748,yes,no,cellular,21,jul,799,2,-1,0,unknown,yes
51,management,married,primary,no,900,no,yes,telephone,21,jul,269,1,-1,0,unknown,no
43,technician,single,tertiary,no,1231,yes,no,cellular,24,aug,319,2,0,0,unknown,no
46,blue-collar,married,secondary,no,807,no,yes,cellular,16,apr,156,6,369,1,other,no
40,entrepreneur,divorced,tertiary,no,910,no,no,cellular,31,aug,146,12,-1,0,unknown,no
29,admin.,single,unknown,no,92,no,no,cellular,8,aug,348,1,184,1,other,yes
38,blue-collar,single,tertiary,no,267,yes,no,cellular,14,jul,1153,2,-1,0,unknown,yes
34,technician,single,secondary,no,207,yes,no,unknown,11,may,833,1,-1,0,unknown,no
32,blue-collar,single,secondary,no,1262,yes,no,cellular,18,may,62,1,366,3,other,no
30,blue-collar,single,secondary,no,39,yes,no,unknown,19,may,30,1,1,0,unknown,no
28,student,single,secondary,no,1528,no,no,cellular,19,apr,477,1,0,0,unknown,yes
39,unemployed,married,unknown,no,593,no,no,cellular,15,feb,523,1,185,2,failure,yes
51,entrepreneur,married,unknown,no,-79,yes,no,unknown,14,may,419,1,-1,0,unknown,yes
38,management,single,tertiary,no,1106,no,no,unknown,3,jun,200,1,0,0,unknown,yes
59,housemaid,married,primary,no,1252,no,no,cellular,30,jul,172,5,0,0,unknown,no
36,management,single,tertiary,no,2928,no,no,unknown,5,jun,1150,1,-1,0,unknown,yes
33,management,single,secondary,no,4514,yes,no,cellular,28,mar,433,2,135,1,success,yes
60,management,married,tertiary,no,22959,yes,no,telephone,28,sep,236,1,191,6,other,yes
55,entrepreneur,married,unknown,no,1519,no,no,telephone,31,jul,136,3,-1,0,unknown,no
25,unemployed,single,unknown,no,162,no,no,cellular,12,nov,194,8,0,0,unknown,no
35,entrepreneur,married,tertiary,no,754,yes,no,unknown,5,may,170,2,188,6,failure,no
34,unemployed,married,secondary,no,384,yes,no,cellular,11,jan,1245,2,339,1,failure,yes
47,retired,divorced,primary,no,190,no,no,telephone,13,jun,61,6,-1,0,unknown,no
47,blue-collar,married,primary,no,345,yes,no,unknown,16,may,535,2,0,0,unknown,no
36,admin.,married,secondary,no,1904,yes,yes,cellular,21,nov,693,1,187,3,failure,no
53,retired,single,tertiary,no,5039,yes,no,cellular,25,sep,810,2,-1,0,unknown,yes
40,management,married,tertiary,no,-213,no,no,cellular,8,jul,905,5,0,0,unknown,no
49,technician,married,primary,no,442,no,yes,cellular,21,jul,27,5,0,0,unknown,no
41,retired,married,primary,no,278,no,no,cellular,7,jun,1121,2,182,4,success,yes
39,management,married,primary,no,217,yes,no,unknown,9,may,293,1,276,0,unknown,no
64,management,married,tertiary,no,17668,no,no,cellular,19,sep,1434,1,100,9,success,yes
43,technician,married,unknown,no,1855,no,no,telephone,16,jun,432,4,-1,0,unknown,yes
57,retired,married,primary,no,1256,no,no,telephone,14,aug,77,2,305,5,other,no
46,blue-collar,married,primary,no,-2,yes,no,cellular,7,may,324,1,-1,0,unknown,no
49,entrepreneur,married,secondary,no,2044,no,no,cellular,18,apr,156,3,-1,0,unknown,no
29,self-employed,single,secondary,no,346,yes,no,cellular,31,jul,53,1,1,0,unknown,no
58,entrepreneur,married,tertiary,no,152,no,no,unknown,14,may,118,2,-1,0,unknown,yes
41,entrepreneur,single,primary,no,52,no,no,cellular,15,feb,718,1,80,7,success,no
32,admin.,married,secondary,no,1536,yes,yes,cellular,22,aug,47,1,-1,0,unknown,no
58,services,married,secondary,no,1505,no,no,unknown,5,jun,177,1,374,2,failure,yes
52,entrepreneur,single,tertiary,no,1058,yes,no,unknown,22,apr,413,1,403,1,failure,yes
31,blue-collar,single,primary,no,275,yes,no,cellular,14,jan,116,1,370,4,other,no
29,services,single,secondary,no,177,no,no,telephone,22,aug,496,1,0,0,unknown,yes
30,blue-collar,single,primary,no,77,yes,no,telephone,28,oct,137,3,-1,0,unknown,no
34,admin.,single,secondary,no,236,yes,no,unknown,22,may,638,2,-1,0,unknown,yes
26,management,single,tertiary,no,365,no,no,cellular,20,aug,129,2,0,0,unknown,yes
40,management,married,secondary,no,3053,yes,no,unknown,19,apr,748,2,-1,0,unknown,no
30,services,divorced,secondary,no,2364,no,no,cellular,18,jul,470,4,0,0,unknown,no
52,technician,divorced,secondary,no,425,yes,yes,unknown,12,may,840,2,-1,0,unknown,no
57,retired,married,secondary,no,182,no,no,cellular,31,nov,424,2,-1,0,unknown,yes
31,services,single,tertiary,no,-202,yes,no,cellular,24,oct,826,1,185,1,failure,yes
30,management,single,tertiary,no,147,yes,no,cellular,5,apr,486,3,-1,0,unknown,yes
