,start,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,end
27,<start>,27.94126,Private,176137,Some-college,9.97418,Never-married,Craft-repair,Not-in-family,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
28,<start>,40.77909,Local-gov,401134,Assoc-voc,10.91349,Divorced,Exec-managerial,Unmarried,White,Male,0.00000,0.00000,43.81604,United-States,>50K,<end>
29,<start>,27.94126,Private,176137,HS-grad,8.93521,Divorced,Craft-repair,Not-in-family,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
30,<start>,23.92482,State-gov,71151,Bachelors,12.93582,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.00000,1808.99616,39.64639,United-States,<=50K,<end>
31,<start>,28.93582,Private,75755,Bachelors,12.93582,Never-married,Prof-specialty,Not-in-family,White,Female,0.00000,0.00000,34.81332,United-States,<=50K,<end>
32,<start>,21.98945,Local-gov,117618,HS-grad,8.93521,Divorced,Farming-fishing,Not-in-family,White,Male,0.00000,0.00000,26.57577,United-States,<=50K,<end>
33,<start>,46.87664,State-gov,175262,Masters,13.87377,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0.00000,1901.99987,42.94843,United-States,>50K,<end>
34,<start>,44.78919,Self-emp-not-inc,225456,Bachelors,12.93582,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
35,<start>,30.43997,State-gov,55237,Doctorate,15.95863,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.00000,0.00000,79.83803,United-States,>50K,<end>
36,<start>,46.87664,Private,30457,Assoc-voc,10.91349,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.00000,0.00000,43.81604,United-States,<=50K,<end>
37,<start>,46.87664,Private,30457,Bachelors,12.93582,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.00000,0.00000,59.73989,United-States,>50K,<end>
38,<start>,21.98945,Private,234641,11th,18.91585,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
39,<start>,40.77909,Private,277783,Masters,13.87377,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.00000,0.00000,39.64639,United-States,>50K,<end>
40,<start>,41.27966,Private,163204,Assoc-voc,10.91349,Married-civ-spouse,Sales,Unmarried,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
41,<start>,36.90524,?,634226,HS-grad,8.93521,Married-civ-spouse,?,Husband,White,Male,0.00000,0.00000,43.81604,United-States,<=50K,<end>
42,<start>,41.53372,Self-emp-not-inc,277783,5th-6th,8.93521,Married-civ-spouse,Craft-repair,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
43,<start>,23.92482,Private,215955,HS-grad,8.93521,Married-civ-spouse,Sales,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
44,<start>,27.94126,Private,176137,HS-grad,8.93521,Divorced,Sales,Not-in-family,White,Female,0.00000,0.00000,39.64639,United-States,<=50K,<end>
45,<start>,24.93521,Private,210184,Doctorate,15.95863,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
46,<start>,76.94672,Private,210184,Masters,13.87377,Divorced,Sales,Not-in-family,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
47,<start>,40.77909,Local-gov,401134,Bachelors,12.93582,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
48,<start>,40.77909,Private,113823,Masters,13.87377,Never-married,Sales,Not-in-family,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
49,<start>,31.95863,Private,311764,Some-college,9.97418,Married-civ-spouse,Craft-repair,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
50,<start>,18.97427,Private,97189,Bachelors,12.93582,Married-civ-spouse,Sales,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
51,<start>,57.67911,Private,367695,Masters,13.87377,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.00000,1901.99987,40.44730,United-States,>50K,<end>
52,<start>,21.98945,Private,234641,11th,6.95875,Never-married,Handlers-cleaners,Own-child,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
53,<start>,22.95875,Private,167187,HS-grad,8.93521,Never-married,Sales,Unmarried,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
54,<start>,21.98945,Private,61850,Bachelors,12.93582,Never-married,Exec-managerial,Own-child,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
55,<start>,39.80748,Private,353524,Doctorate,15.95863,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.00000,1901.99987,36.59823,United-States,>50K,<end>
56,<start>,44.78919,Private,229531,Bachelors,12.93582,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.00000,0.00000,59.73989,United-States,>50K,<end>
57,<start>,48.78595,Private,126754,Bachelors,12.93582,Never-married,Prof-specialty,Not-in-family,White,Male,0.00000,1095.63316,39.64639,United-States,<=50K,<end>
58,<start>,53.71282,Private,209535,Masters,13.87377,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0.00000,1901.99987,36.96605,United-States,>50K,<end>
59,<start>,27.94126,?,50356,HS-grad,8.93521,Married-civ-spouse,?,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
60,<start>,46.87664,Private,176657,HS-grad,8.93521,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.00000,1095.63316,49.89895,United-States,<=50K,<end>
61,<start>,27.94126,Private,176137,Bachelors,12.93582,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.00000,1824.92411,39.64639,United-States,>50K,<end>
62,<start>,32.94546,Private,213226,HS-grad,8.93521,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
63,<start>,45.96410,Private,173736,Bachelors,12.93582,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
64,<start>,46.87664,?,46786,Bachelors,12.93582,Married-civ-spouse,?,Husband,White,Male,0.00000,0.00000,44.70118,Philippines,>50K,<end>
65,<start>,36.90524,Private,166497,Masters,13.87377,Divorced,Exec-managerial,Unmarried,White,Male,0.00000,0.00000,43.81604,United-States,<=50K,<end>
66,<start>,57.67911,Self-emp-inc,78104,HS-grad,8.93521,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
67,<start>,44.78919,Federal-gov,311671,Assoc-voc,10.91349,Married-civ-spouse,Sales,Husband,White,Male,0.00000,0.00000,43.81604,United-States,<=50K,<end>
68,<start>,25.02501,Private,135525,HS-grad,8.93521,Never-married,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
69,<start>,67.41860,Private,185251,HS-grad,8.93521,Married-civ-spouse,Sales,Husband,White,Male,0.00000,0.00000,43.81604,United-States,<=50K,<end>
70,<start>,27.94126,Private,478315,Bachelors,12.93582,Never-married,Prof-specialty,Not-in-family,White,Female,0.00000,0.00000,79.83803,United-States,<=50K,<end>
71,<start>,27.94126,Private,176137,Bachelors,12.93582,Never-married,Sales,Not-in-family,White,Male,0.00001,1095.63316,47.94239,United-States,<=50K,<end>
72,<start>,45.96410,Private,124963,Bachelors,12.93582,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.00000,1901.99987,44.70118,United-States,>50K,<end>
73,<start>,59.81604,?,173736,12th,7.92482,Married-civ-spouse,?,Husband,White,Male,0.00000,0.00000,96.54411,United-States,<=50K,<end>
74,<start>,63.94239,Private,379062,Doctorate,15.95863,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.00000,0.00000,59.73989,United-States,>50K,<end>
75,<start>,41.79034,State-gov,148316,Assoc-voc,10.91349,Married-civ-spouse,Tech-support,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
76,<start>,41.79034,Local-gov,214143,Bachelors,12.93582,Married-civ-spouse,Sales,Husband,White,Male,0.00000,1095.63316,39.64639,United-States,<=50K,<end>
77,<start>,53.71282,Private,321851,Bachelors,12.93582,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.00000,0.00000,35.87354,United-States,<=50K,<end>
78,<start>,28.93582,Private,224870,Bachelors,8.93521,Married-civ-spouse,Craft-repair,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
79,<start>,23.92482,Local-gov,317443,Bachelors,12.93582,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.00000,0.00000,47.94239,United-States,<=50K,<end>
80,<start>,51.87354,Private,221936,HS-grad,8.93521,Married-civ-spouse,Craft-repair,Husband,Black,Male,0.00000,0.00000,49.89895,United-States,<=50K,<end>
81,<start>,45.96410,Local-gov,359193,Some-college,9.97418,Divorced,Exec-managerial,Unmarried,White,Male,0.00000,0.00000,44.70118,United-States,>50K,<end>
82,<start>,20.95303,Private,185251,Bachelors,12.93582,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.00000,0.00000,24.77909,United-States,<=50K,<end>
83,<start>,38.87398,Self-emp-not-inc,597843,Masters,13.87377,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.00000,0.00000,49.89895,United-States,>50K,<end>
84,<start>,22.95875,Local-gov,117618,Bachelors,12.93582,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
85,<start>,46.87664,Private,445940,Bachelors,12.93582,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.00000,0.00000,47.94239,United-States,<=50K,<end>
86,<start>,21.98945,Private,63424,HS-grad,8.93521,Divorced,Exec-managerial,Unmarried,White,Female,0.00000,0.00000,39.64639,United-States,<=50K,<end>
87,<start>,34.91585,Private,204621,7th-8th,3.97490,Married-civ-spouse,Transport-moving,Husband,White,Male,0.00000,0.00000,47.94239,United-States,<=50K,<end>
88,<start>,40.77909,Local-gov,401134,Masters,13.87377,Never-married,Exec-managerial,Not-in-family,White,Male,0.00000,0.00000,43.81604,United-States,<=50K,<end>
89,<start>,27.94126,Private,176137,Some-college,9.97418,Never-married,Craft-repair,Not-in-family,White,Male,0.00000,0.00000,36.59823,United-States,<=50K,<end>
90,<start>,24.93521,Private,210866,Bachelors,12.93582,Never-married,Sales,Not-in-family,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
91,<start>,18.97427,Private,66686,7th-8th,3.97490,Never-married,Exec-managerial,Own-child,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
92,<start>,46.87664,Local-gov,321851,Bachelors,12.93582,Separated,Prof-specialty,Not-in-family,White,Male,0.00000,0.00000,24.77909,United-States,<=50K,<end>
93,<start>,22.61937,Private,126838,HS-grad,8.93521,Never-married,Handlers-cleaners,Own-child,White,Male,0.00000,0.00000,54.05489,United-States,<=50K,<end>
94,<start>,44.78919,Private,114678,HS-grad,8.93521,Divorced,Craft-repair,Not-in-family,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
95,<start>,44.78919,Private,195394,Masters,13.87377,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.00000,0.00000,44.70118,United-States,<=50K,<end>
96,<start>,18.97427,?,634226,10th,5.98945,Married-civ-spouse,Other-service,Husband,White,Male,0.00000,0.00000,35.87354,United-States,<=50K,<end>
97,<start>,21.98945,?,452405,12th,7.92482,Married-civ-spouse,?,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
98,<start>,46.26524,Local-gov,277783,Some-college,9.97418,Divorced,Other-service,Unmarried,White,Female,0.00000,0.00000,39.64639,United-States,<=50K,<end>
99,<start>,19.28708,Local-gov,117618,Bachelors,12.93582,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
100,<start>,46.87664,Private,135803,Bachelors,12.93582,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.00000,0.00000,49.89895,United-States,<=50K,<end>
101,<start>,22.95875,?,148751,Some-college,9.97418,Married-civ-spouse,?,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
102,<start>,22.95875,?,148751,Bachelors,12.93582,Married-civ-spouse,?,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
103,<start>,44.78919,Private,325089,Masters,13.87377,Married-civ-spouse,Sales,Husband,White,Male,0.00000,0.00000,35.87354,United-States,<=50K,<end>
104,<start>,21.98945,Private,452405,Preschool,2.71828,Never-married,Other-service,Not-in-family,White,Male,0.00000,0.00000,39.64639,Mexico,<=50K,<end>
105,<start>,22.61937,Private,111567,HS-grad,8.93521,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
106,<start>,26.69739,?,199046,Assoc-voc,10.91349,Married-civ-spouse,?,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
107,<start>,20.95303,Private,185251,Bachelors,12.93582,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
108,<start>,34.91585,?,117618,Bachelors,12.93582,Never-married,?,Not-in-family,Amer-Indian-Eskimo,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
109,<start>,45.96410,Local-gov,359193,Bachelors,12.93582,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
110,<start>,24.93521,?,504871,HS-grad,8.93521,Married-civ-spouse,?,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
111,<start>,32.28102,State-gov,272944,HS-grad,8.93521,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,0.00000,0.00000,39.64639,United-States,>50K,<end>
112,<start>,45.96410,Private,290226,HS-grad,8.93521,Married-civ-spouse,Craft-repair,Husband,Black,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
113,<start>,27.94126,Private,176137,HS-grad,8.93521,Never-married,Craft-repair,Not-in-family,White,Female,0.00000,0.00000,39.64639,United-States,<=50K,<end>
114,<start>,40.77909,Private,113823,Masters,13.87377,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.00000,0.00000,39.64639,United-States,>50K,<end>
115,<start>,22.95875,Private,321851,Bachelors,12.93582,Never-married,Sales,Own-child,White,Male,0.00000,0.00000,47.94239,United-States,<=50K,<end>
116,<start>,46.87664,?,300528,Bachelors,12.93582,Married-civ-spouse,?,Husband,White,Male,0.00000,0.00000,119.10435,United-States,<=50K,<end>
117,<start>,45.96410,?,634226,10th,5.98945,Never-married,?,Own-child,White,Male,0.00000,0.00000,41.67911,United-States,<=50K,<end>
118,<start>,36.90524,Local-gov,117618,Bachelors,12.93582,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.00000,0.00000,39.64639,United-States,>50K,<end>
119,<start>,53.71282,Private,185407,Bachelors,12.93582,Married-civ-spouse,Other-service,Husband,White,Male,0.00000,0.00000,24.77909,United-States,<=50K,<end>
120,<start>,33.99331,Private,452405,Masters,13.87377,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0.00000,0.00000,35.87354,United-States,>50K,<end>
121,<start>,23.92482,Local-gov,317443,Bachelors,12.93582,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0.00000,0.00000,39.64639,United-States,>50K,<end>
122,<start>,40.77909,Local-gov,277783,Some-college,9.97418,Divorced,Exec-managerial,Unmarried,White,Female,0.00000,0.00000,39.64639,United-States,<=50K,<end>
123,<start>,21.98945,Private,234641,HS-grad,8.93521,Never-married,Other-service,Not-in-family,Black,Female,0.00000,0.00000,34.81332,United-States,<=50K,<end>
124,<start>,27.94126,Local-gov,154863,Bachelors,12.93582,Never-married,Prof-specialty,Not-in-family,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
125,<start>,24.93521,Private,141511,Doctorate,15.95863,Never-married,Exec-managerial,Not-in-family,White,Male,0.00000,0.00000,37.71282,United-States,>50K,<end>
126,<start>,46.87664,Private,30457,Masters,13.87377,Divorced,Exec-managerial,Not-in-family,White,Male,0.00000,1151.85874,49.89895,United-States,<=50K,<end>
127,<start>,41.79034,?,334741,HS-grad,8.93521,Divorced,?,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
128,<start>,48.13674,Private,183203,Assoc-acdm,11.94126,Divorced,Sales,Unmarried,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
129,<start>,39.80748,Private,114678,Bachelors,12.93582,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.00040,0.00000,39.64639,United-States,>50K,<end>
130,<start>,22.95875,Private,31606,HS-grad,8.93521,Never-married,Craft-repair,Not-in-family,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
131,<start>,46.87664,Private,115070,Bachelors,12.93582,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.00000,0.00000,39.64639,United-States,>50K,<end>
132,<start>,48.13674,Private,166929,Doctorate,15.95863,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.00000,0.00000,49.89895,United-States,>50K,<end>
133,<start>,28.93582,Private,98010,Bachelors,12.93582,Never-married,Adm-clerical,Not-in-family,White,Male,0.00000,1095.63316,39.64639,United-States,<=50K,<end>
134,<start>,46.87664,Private,141511,Doctorate,15.95863,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.00000,1901.99987,49.89895,United-States,>50K,<end>
135,<start>,20.95303,Private,185251,HS-grad,8.93521,Divorced,Craft-repair,Unmarried,White,Male,0.00000,0.00000,35.16320,United-States,<=50K,<end>
136,<start>,18.97427,Private,97189,HS-grad,8.93521,Never-married,Adm-clerical,Not-in-family,White,Female,0.00000,0.00000,39.64639,United-States,<=50K,<end>
137,<start>,18.97427,?,195282,Bachelors,12.93582,Never-married,?,Not-in-family,White,Female,0.00000,0.00000,24.77909,United-States,<=50K,<end>
138,<start>,21.98945,Private,234641,HS-grad,8.93521,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.00000,0.00000,39.64639,United-States,>50K,<end>
139,<start>,48.78595,Private,185385,Masters,13.87377,Married-civ-spouse,Sales,Husband,White,Male,0.00000,1095.63316,49.89895,United-States,>50K,<end>
140,<start>,47.81698,Private,166929,Bachelors,12.93582,Married-civ-spouse,?,Husband,White,Male,0.00000,1095.63316,49.89895,United-States,>50K,<end>
141,<start>,26.91349,State-gov,23740,HS-grad,8.93521,Never-married,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
142,<start>,20.95303,Private,185251,Bachelors,12.93582,Never-married,Sales,Not-in-family,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
143,<start>,46.87664,?,199046,Bachelors,12.93582,Married-civ-spouse,?,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
144,<start>,21.98945,Private,234641,HS-grad,8.93521,Never-married,Other-service,Not-in-family,White,Female,0.00000,0.00000,39.64639,United-States,<=50K,<end>
145,<start>,46.87664,Private,132633,Bachelors,12.93582,Married-civ-spouse,Sales,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
146,<start>,40.77909,Local-gov,277783,Some-college,9.97418,Divorced,Exec-managerial,Unmarried,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
147,<start>,24.93521,Private,245361,Bachelors,12.93582,Never-married,Sales,Not-in-family,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
148,<start>,27.94126,Private,176137,HS-grad,8.93521,Never-married,Exec-managerial,Other-relative,White,Male,0.00000,0.00000,49.89895,United-States,<=50K,<end>
149,<start>,33.63702,Private,379062,Bachelors,12.93582,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,0.00000,0.00000,59.73989,United-States,<=50K,<end>
150,<start>,18.97427,?,634226,10th,5.98945,Married-civ-spouse,?,Husband,White,Male,0.00000,0.00000,19.68782,United-States,<=50K,<end>
151,<start>,27.94126,Private,176137,HS-grad,8.93521,Never-married,Other-service,Not-in-family,White,Female,0.00000,0.00000,24.77909,United-States,<=50K,<end>
152,<start>,67.93537,Private,202652,Bachelors,12.93582,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.00000,0.00000,39.64639,United-States,>50K,<end>
153,<start>,47.18696,Private,242482,Bachelors,12.93582,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.00000,0.00000,39.64639,United-States,>50K,<end>
154,<start>,51.87354,Private,221936,HS-grad,8.93521,Divorced,Transport-moving,Not-in-family,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
155,<start>,48.13674,Private,185251,Bachelors,12.93582,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.00000,0.00000,47.94239,United-States,>50K,<end>
156,<start>,27.94126,Private,176137,HS-grad,8.93521,Divorced,Sales,Not-in-family,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
157,<start>,22.61937,Private,234641,HS-grad,8.93521,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.00000,0.00000,39.64639,United-States,>50K,<end>
158,<start>,27.94126,Self-emp-not-inc,191389,Some-college,9.97418,Never-married,Sales,Unmarried,White,Female,0.00000,0.00000,17.63702,United-States,<=50K,<end>
159,<start>,58.09799,?,134854,Assoc-voc,10.91349,Married-civ-spouse,?,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
160,<start>,66.90698,Private,339168,HS-grad,8.93521,Married-civ-spouse,Sales,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
161,<start>,17.99372,Private,228873,HS-grad,8.93521,Married-civ-spouse,Craft-repair,Husband,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
162,<start>,22.95875,?,148751,Bachelors,12.93582,Never-married,?,Not-in-family,White,Female,0.00000,0.00000,39.64639,United-States,<=50K,<end>
163,<start>,18.97427,Private,97189,Some-college,9.97418,Never-married,Sales,Own-child,White,Female,0.00000,0.00000,39.64639,United-States,<=50K,<end>
164,<start>,40.77909,Private,113823,Masters,13.87377,Divorced,Sales,Unmarried,White,Female,0.00000,0.00000,39.64639,United-States,<=50K,<end>
165,<start>,45.96410,Private,55237,Doctorate,15.95863,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.00000,1901.99987,42.94843,United-States,>50K,<end>
166,<start>,45.96410,Private,123053,Masters,13.87377,Married-civ-spouse,Sales,Husband,White,Male,0.00000,0.00000,39.64639,United-States,>50K,<end>
167,<start>,45.96410,Private,300528,Bachelors,12.93582,Married-civ-spouse,Sales,Husband,White,Male,0.00000,1901.99987,47.46535,United-States,>50K,<end>
168,<start>,18.97427,?,276973,Some-college,9.97418,Never-married,?,Own-child,White,Female,0.00000,0.00000,14.58509,United-States,<=50K,<end>
169,<start>,60.70118,?,30475,7th-8th,5.36556,Divorced,?,Not-in-family,White,Male,0.00000,0.00000,39.64639,United-States,<=50K,<end>
170,<start>,51.87354,Private,221936,HS-grad,8.93521,Divorced,Exec-managerial,Not-in-family,White,Female,0.00000,0.00000,24.77909,United-States,<=50K,<end>
